Title,url,item_price,item_cat,prod_url
"VEVELSTAD-bed frame, white, Single-30518275",https://www.ikea.com.hk/dairyfarm/hk/images/353/1035360_PE840536_S4.webp,499.9,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/vevelstad-art-30518275
"SONGESAND-bed frame, white/Lönset, Single-49241036",https://www.ikea.com.hk/dairyfarm/hk/images/376/0637618_PE698428_S4.webp,1499.0,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/songesand-spr-49241036
"TARVA-bed frame, pine/Luröy, Single-9009572",https://www.ikea.com.hk/dairyfarm/hk/images/550/0655004_PE708894_S4.webp,999.9,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/tarva-spr-09009572
"SONGESAND-bed frame, white/Luröy, Single-69241035",https://www.ikea.com.hk/dairyfarm/hk/images/376/0637618_PE698428_S4.webp,1199.0,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/songesand-spr-69241035
"HEMNES-bed frame, white stain/Luröy, Single-19198402",https://www.ikea.com.hk/dairyfarm/hk/images/376/0637616_PE698429_S4.webp,1799.0,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/hemnes-spr-19198402
"TARVA-bed frame, pine/Lönset, Single-49019611",https://www.ikea.com.hk/dairyfarm/hk/images/550/0655004_PE708894_S4.webp,1299.9,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/tarva-spr-49019611
"VEVELSTAD-bed frame with 1 headboard, white/Tolkning rattan, Single-19441782",https://www.ikea.com.hk/dairyfarm/hk/images/113/1111397_PE870761_S4.webp,999.9,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/vevelstad-spr-19441782
"HEMNES-bed frame, white stain/Lönset, Single-99198403",https://www.ikea.com.hk/dairyfarm/hk/images/376/0637616_PE698429_S4.webp,2099.0,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/hemnes-spr-99198403
"VEVELSTAD-bed frame with 2 headboards, white/Tolkning rattan, Single-49441808",https://www.ikea.com.hk/dairyfarm/hk/images/113/1111399_PE870762_S4.webp,1499.9,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/vevelstad-spr-49441808
"VEVELSTAD-bed frame with 3 headboards, white/Tolkning rattan, Single-69441826",https://www.ikea.com.hk/dairyfarm/hk/images/114/1111400_PE870764_S4.webp,1999.9,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/vevelstad-spr-69441826
"SAGSTUA-bed frame, black/Luröy, Single-19268876",https://www.ikea.com.hk/dairyfarm/hk/images/621/0662129_PE719107_S4.webp,799.0,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/sagstua-spr-19268876
"SAGSTUA-bed frame, black/Lönset, Single-49268931",https://www.ikea.com.hk/dairyfarm/hk/images/621/0662129_PE719107_S4.webp,1099.0,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/sagstua-spr-49268931
